"County","Cases","Case Rate per 100,000 Population"
"Adams","0","0"
"Alexander","0","0"
"Bond","0","0"
"Boone","0","0"
"Brown","0","0"
"Bureau","0","0"
"Calhoun","0","0"
"Carroll","0","0"
"Cass","0","0"
"Champaign","5","2.38"
"Chicago","97","3.59"
"Christian","0","0"
"Clark","0","0"
"Clay","0","0"
"Clinton","0","0"
"Coles","0","0"
"Cook","62","2.51"
"Crawford","0","0"
"Cumberland","0","0"
"De Witt","0","0"
"DeKalb","0","0"
"Douglas","0","0"
"DuPage","31","3.35"
"Edgar","0","0"
"Edwards","0","0"
"Effingham","0","0"
"Fayette","0","0"
"Ford","0","0"
"Franklin","0","0"
"Fulton","0","0"
"Gallatin","0","0"
"Greene","0","0"
"Grundy","1","Rate Suppressed"
"Hamilton","0","0"
"Hancock","0","0"
"Hardin","0","0"
"Henderson","0","0"
"Henry","0","0"
"Iroquois","0","0"
"Jackson","0","0"
"Jasper","0","0"
"Jefferson","0","0"
"Jersey","0","0"
"Jo Daviess","0","0"
"Johnson","0","0"
"Kane","12","2.26"
"Kankakee","0","0"
"Kendall","1","0.78"
"Knox","0","0"
"Lake","9","1.29"
"LaSalle","1","0.92"
"Lawrence","0","0"
"Lee","0","0"
"Livingston","0","0"
"Logan","0","0"
"Macon","1","0.96"
"Macoupin","0","0"
"Madison","1","0.38"
"Marion","1","Rate Suppressed"
"Marshall","0","0"
"Mason","0","0"
"Massac","0","0"
"McDonough","0","0"
"McHenry","5","1.63"
"McLean","1","0.58"
"Menard","0","0"
"Mercer","0","0"
"Monroe","0","0"
"Montgomery","0","0"
"Morgan","0","0"
"Moultrie","0","0"
"Ogle","0","0"
"Peoria","1","0.55"
"Perry","0","0"
"Piatt","0","0"
"Pike","0","0"
"Pope","0","0"
"Pulaski","0","0"
"Putnam","0","0"
"Randolph","0","0"
"Richland","0","0"
"Rock Island","5","3.5"
"Saline","0","0"
"Sangamon","1","0.51"
"Schuyler","0","0"
"Scott","0","0"
"Shelby","1","Rate Suppressed"
"St. Clair","4","1.53"
"Stark","0","0"
"Stephenson","0","0"
"Tazewell","1","0.75"
"Union","0","0"
"Vermilion","0","0"
"Wabash","0","0"
"Warren","0","0"
"Washington","0","0"
"Wayne","0","0"
"White","0","0"
"Whiteside","0","0"
"Will","6","0.87"
"Williamson","3","Rate Suppressed"
"Winnebago","3","1.06"
"Woodford","0","0"